User_ID,Age,Social_Media_Hours,Exercise_Hours,Sleep_Hours,Screen_Time_Hours,Survey_Stress_Score,Wearable_Stress_Score,Support_System,Academic_Performance,Gender_M,label,Cluster,PCA1,PCA2,Fitur
1,16,9.654486346,2.458001257,5.198925522,8.158188998,3,0.288962247,2,1,False,4,5,-0.45611770092735127,0.41871384624251634,1
2,17,9.158143482,0.392094761,8.866096662,5.151993467,5,0.409446165,2,2,True,2,2,0.586504561653643,0.36075310927071685,2
3,15,5.028755201,0.52011947,4.94309483,9.209325483,2,0.423837485,2,3,True,2,2,0.5877523278105047,0.4014133590901839,3
4,17,7.951102825,1.022629619,5.262773303,9.823657952,5,0.666020828,2,0,False,4,5,-0.46195364608141104,0.3905321438368911,0
5,17,1.357458531,1.225462167,6.196080351,11.33898971,5,0.928060356,0,3,False,3,3,-0.5754536399467263,-0.42734170841305974,3
6,14,9.774381842,1.046108433,9.282089175,5.677746722,5,0.070586489,1,3,True,0,4,0.5707365235083518,0.08418302203413361,3
7,15,9.64353234,2.290941098,4.790720012,8.86016736,4,0.953353593,1,1,False,1,1,-0.4457371741817721,0.20311913172926044,1
8,15,1.637289579,0.290854178,4.733405157,8.026162769,4,0.910201284,2,3,False,4,5,-0.4575348028555228,0.4271350861445529,3
9,15,2.994231248,1.053651059,6.96384993,7.252060695,5,0.1177323,1,3,True,0,4,0.5714344570088842,0.06577989274809551,3
10,17,1.001549975,2.511719999,5.658463247,10.90416474,2,0.183585031,2,2,True,2,2,0.5840115460334206,0.3680134794882211,2
11,16,2.717175989,0.200391232,7.41236765,2.031673141,1,0.311595601,0,1,True,5,0,0.34671529303725424,-0.7295099565294993,1
12,15,8.159557894,2.827030523,6.709820108,4.821116061,3,0.559666041,1,2,False,1,1,-0.43897990117175206,0.21400628928220672,2
13,18,3.783156072,2.958950527,6.609754638,7.382772395,4,0.134476196,2,2,False,4,5,-0.45200389119822904,0.38749851997492263,2
14,17,0.883969671,0.265704521,4.671837823,3.782932616,1,0.200334953,1,2,True,0,4,0.5839062019231039,0.09202879167776759,2
15,14,3.422255248,0.873817567,4.846298141,11.07866534,4,0.902675294,2,1,True,2,2,0.5686043165707245,0.38124817887826884,1
16,16,9.813833342,1.117201998,8.926471465,8.475951176,4,0.109300631,1,0,False,1,1,-0.4424541013506752,0.1857626524964877,0
17,18,6.296835953,2.329174106,9.315296425,6.778829946,4,0.398878265,0,1,True,5,0,0.3401450009520439,-0.7793632637535179,1
18,18,4.161609464,1.787780436,5.408101197,10.14701759,5,0.763001778,1,2,False,1,1,-0.43691479434252783,0.16453066203011985,2
19,14,1.665385135,1.933097101,4.680763009,6.508861915,5,0.888583117,0,0,False,3,3,-0.590466571554038,-0.41587090761484563,0
20,16,9.861767973,2.272529468,4.320500032,7.586530119,4,0.336042563,0,3,True,5,0,0.34955933312460163,-0.7564332345971987,3
21,17,8.208490093,0.353936998,7.649785682,2.027509956,4,0.164437505,2,0,True,2,2,0.5858316329059287,0.3606985110424917,0
22,13,2.814773025,2.499628371,8.292119275,5.657005302,3,0.737011659,2,1,False,4,5,-0.4739033545149479,0.443162491161126,1
23,16,0.700686957,2.116859413,6.236859935,3.387904724,1,0.772557759,1,2,True,0,4,0.5714938507865487,0.10441525690048961,2
24,14,0.566255574,1.732025176,8.078055205,8.896886807,1,0.980033444,0,3,True,5,0,0.33339076274143176,-0.7083074448328528,3
25,18,1.203781495,2.669206004,8.277752893,6.79026959,2,0.139541851,2,3,True,2,2,0.5903941937316631,0.36897924429674683,3
26,17,5.807685836,2.100919062,9.612053688,5.017575573,2,0.709420883,0,2,True,5,0,0.34216868102010667,-0.7398423015762028,2
27,16,9.287634212,0.605099888,4.389241827,6.678323394,2,0.417292538,0,3,False,3,3,-0.5595766468767704,-0.3800203232095929,3
28,13,4.96743428,1.289236143,5.153750339,4.09629888,5,0.914629438,0,3,False,3,3,-0.5787191687249027,-0.38765368601340733,3
