User_ID,Age,Gender,Social_Media_Hours,Exercise_Hours,Sleep_Hours,Screen_Time_Hours,Survey_Stress_Score,Wearable_Stress_Score,Support_System,Academic_Performance,Cluster
1,16,F,9.654486346,2.458001257,5.198925522,8.158188998,3,0.288962247,Moderate,Excellent,0
2,17,M,9.158143482,0.39209476100000007,8.866096662,5.151993467,5,0.409446165,Moderate,Good,0
3,15,M,5.028755201,0.52011947,4.94309483,9.209325483,2,0.423837485,Moderate,Poor,1
4,17,F,7.951102825,1.022629619,5.262773303,9.823657952,5,0.666020828,Moderate,Average,0
5,17,F,1.3574585309999998,1.225462167,6.196080351,11.33898971,5,0.928060356,High,Poor,1
6,14,M,9.774381842,1.046108433,9.282089175,5.677746722,5,0.07058648899999997,Low,Poor,0
7,15,F,9.64353234,2.290941098,4.790720012,8.86016736,4,0.953353593,Low,Excellent,0
8,15,F,1.6372895790000004,0.290854178,4.733405157,8.026162769,4,0.910201284,Moderate,Poor,1
9,15,M,2.994231248,1.053651059,6.96384993,7.252060695,5,0.11773230000000001,Low,Poor,1
10,17,M,1.001549975,2.511719999,5.658463247,10.90416474,2,0.183585031,Moderate,Good,2
11,16,M,2.717175989,0.20039123200000009,7.41236765,2.0316731409999997,1,0.311595601,High,Excellent,1
12,15,F,8.159557894,2.827030523,6.709820108,4.821116061,3,0.559666041,Low,Good,0
13,18,F,3.783156072,2.958950527,6.609754638,7.382772395,4,0.134476196,Moderate,Good,2
14,17,M,0.883969671,0.26570452099999997,4.671837823,3.7829326160000005,1,0.20033495299999998,Low,Good,1
15,14,M,3.422255248,0.873817567,4.846298141,11.07866534,4,0.902675294,Moderate,Excellent,1
16,16,F,9.813833342,1.117201998,8.926471465,8.475951176,4,0.10930063099999993,Low,Average,0
17,18,M,6.296835953,2.329174106,9.315296425,6.778829946,4,0.398878265,High,Excellent,2
18,18,F,4.161609464,1.787780436,5.408101197,10.14701759,5,0.763001778,Low,Good,2
19,14,F,1.6653851350000002,1.933097101,4.680763009,6.508861915,5,0.888583117,High,Average,1
20,16,M,9.861767973,2.272529468,4.320500032,7.586530119,4,0.336042563,High,Poor,0
21,17,M,8.208490093,0.353936998,7.649785682,2.0275099560000003,4,0.16443750500000004,Moderate,Average,0
22,13,F,2.814773025,2.499628371,8.292119275,5.657005302,3,0.737011659,Moderate,Excellent,2
23,16,M,0.7006869570000003,2.116859413,6.236859935,3.387904724,1,0.772557759,Low,Good,2
24,14,M,0.5662555740000004,1.732025176,8.078055205,8.896886807,1,0.980033444,High,Poor,2
25,18,M,1.2037814949999999,2.669206004,8.277752893,6.79026959,2,0.139541851,Moderate,Poor,2
26,17,M,5.807685836,2.100919062,9.612053688,5.017575573,2,0.709420883,High,Good,2
27,16,F,9.287634212,0.605099888,4.389241827,6.678323394,2,0.417292538,High,Poor,0
28,13,F,4.96743428,1.289236143,5.153750339,4.09629888,5,0.914629438,High,Poor,1
29,13,F,8.429454825,1.482128601,4.411155926,11.25086632,5,0.407830884,Low,Poor,0
30,15,F,4.458866199,0.1656528800000001,9.2079636,2.5397263259999994,3,0.445960376,High,Excellent,1
31,15,M,7.085835458,2.86391254,8.75552296,10.65417035,5,0.12679659800000004,High,Average,2
32,14,M,7.318727373,0.38573178200000013,7.447852424,7.113587887,2,0.320936785,Low,Excellent,0
33,16,F,1.739637059,2.092383802,4.50198046,8.189464961,4,0.40084047,Low,Poor,2
34,16,F,3.61216059,1.518693108,5.639874152,5.026056209,2,0.017508754000000015,Moderate,Excellent,2
35,18,M,6.373021565,0.07689674999999996,5.786319088,11.66697617,3,0.437574468,High,Poor,1
36,18,F,0.7069660820000001,2.774242428,7.364459176,4.818509585,4,0.336318551,High,Excellent,2
37,18,F,3.615401878,2.555510426,5.548263364,7.888779971,5,0.803839736,Low,Average,2
38,15,M,5.347994663,1.572773784,4.437759183,11.93416705,4,0.10711261300000002,Low,Good,0
39,16,F,9.96224493,0.686827008,8.384573811,10.81094396,3,0.760211127,Moderate,Average,0
40,16,M,4.745335626,0.36486867200000006,5.79448127,7.363298253,5,0.714011543,Low,Excellent,1
41,13,M,8.160567571,1.090177438,6.714245062,11.90374523,1,0.241782328,Low,Excellent,0
42,15,F,4.320672851,0.766284843,4.76599981,9.013698617,2,0.08327166800000002,Low,Average,1
43,17,M,7.963907226,1.520073603,8.81528982,4.087004160999999,2,0.8418334460000001,Low,Excellent,0
44,15,F,5.954148016,2.899227888,7.393191262,6.055962104,3,0.249430043,Moderate,Good,2
45,17,M,8.865954415,1.72486048,9.409513757,5.34493334,3,0.14556012000000002,High,Good,0
46,13,F,4.109425524,2.669793168,6.972829378,5.440137083,2,0.359036602,High,Average,2
47,14,F,6.043044198,1.952636512,9.648554031,9.604564394,4,0.400882824,High,Poor,2
48,16,F,6.300186806,1.42573958,9.351209226,7.842629273,1,0.32608798,High,Good,0
49,13,M,4.173829418,2.563822688,7.458759139,2.3809271159999996,1,0.976481113,High,Excellent,2
50,16,M,1.4431204370000001,1.414104331,9.603360629,10.77448484,3,0.880820669,Low,Poor,1
51,18,F,0.935594069,2.605884512,5.938532484,4.967961405,3,0.872975496,High,Good,2
52,14,M,0.16671550600000007,0.874730309,6.193852976,11.97074877,4,0.398767591,Low,Poor,1
53,14,F,8.735342642,0.38643922100000005,4.272867708,11.5419073,3,0.9628696399999999,High,Excellent,0
54,13,F,2.364749122,2.565943393,7.535205441,11.40530717,1,0.684015296,High,Average,2
55,14,M,2.115067493,1.762245491,8.33154382,10.11127604,2,0.831994669,Low,Average,2
56,17,F,7.360354004,2.667277195,8.641115141,4.206133317,1,0.500875125,High,Excellent,0
57,14,M,3.200161131,2.813481621,4.898897716,7.32632744,4,0.160617293,Low,Average,2
58,16,F,5.060446924,0.16088517099999988,6.664954434,4.243026268,2,0.886885505,Moderate,Excellent,1
59,16,M,1.6251106530000001,1.502907906,5.061179273,4.596754556,2,0.486426739,Moderate,Average,1
60,16,F,9.597457215,1.124893647,7.972764093,8.109517694,1,0.968554909,Moderate,Good,0
